회사명,공고명,지역,학력,경력,분야,마감일,고용형태,기업규모,급여(만원)
라인플러스,IT Security Governance (시니어 정보보호 담당자),경기,무관,경력 10년↑,"네트워크·서버·보안, 전산·IT기술지원, IT·문화·직업강사",채용시,훈련생,중견기업,227
글로벌서치,전장 S/W 개발 Embeded S/W,경기,초대졸,경력 9~18년,"소프트웨어·하드웨어, 전산·IT기술지원, 기계·금속·재료",09.05,정규직,대기업,343
현대오토에버(주),[Tech] Mobility Security Engineer - 모빌리티보안기술팀 - 리더(팀장) 채용,대전,무관,경력 10년↑,네트워크·서버·보안,08.27,훈련생,중견기업,223
(주)디자인그룹나인,[정규직/문래역or전국] 플랫폼 PM 모집,대전,초대졸,경력 10년↑,"웹기획·웹마케팅·PM, 컨텐츠·사이트운영, 마케팅",09.05,정규직,대기업,328
SK브로드밴드(주),보안 취약점 진단/통제 분야 전문가(리더급),대전,무관,경력 10년↑,네트워크·서버·보안,08.31,정규직,중견기업,341
씨제이올리브네트웍스(주),[경력] 올리브영 SAP FI 운영/개발,대전,무관,경력 10년↑,"세무·회계, 응용프로그래머, ERP·시스템분석·설계",09.30,정규직,중소기업,321
씨제이올리브네트웍스(주),[경력] 올리브영 SAP FI 운영/개발,대전,무관,경력 10년↑,"응용프로그래머, ERP·시스템분석·설계",채용시,정규직,중소기업,342
메가존클라우드(주),[메가존클라우드] UX/UI 디자이너,경기,무관,경력 3~20년,"웹디자인, 웹기획·웹마케팅·PM",08.23,정규직,중소기업,308
에스에프인촌 주식회사,[카카오그룹 계열사] AI 콘텐츠 번역플랫폼 기술총괄 인재채용,대전,대졸↑,경력 10년↑,컨텐츠·사이트운영,,정규직,중소기업,323
메가존클라우드(주),[메가존클라우드] 소셜미디어 매니저,경기,무관,경력 3~20년,"경영·기획·전략, 응용프로그래머",08.23,정규직,중소기업,339
피플워크(주),(Senior) Data & Digital Solutions Manager - 외국계리테일사,대전,대졸↑,경력 10년↑,빅데이터·AI(인공지능),,인턴,중견기업,291
