회사명,공고명,지역,학력,경력,분야,마감일,고용형태,기업규모,급여(만원)
오케이 로지스틱스,"윙바디 5톤 이상 경력직 운전기사 상시모집(쿠팡,한진,CJ) 물류센터간 간선고정",대전,무관,경력 1~20년,"운송·물류, 택배·배송·운반, 운전·운항",09.21,정규직,중견기업,344
(주)스카우트파트너스,SCM전략팀장 (물류거점.TMS.자동화.3PL영업.13-20) 유통 대기업,대전,대졸↑,경력 12년↑,"운송·물류, 무역사무, 경영·기획·전략",채용시,훈련생,중소기업,320
주식회사 메타써치,[유통전문 중견기업]F&B 본부장,대전,대졸↑,경력 18년↑,유통·상품기획·MD,채용시,인턴,중견기업,256
(주)커리어하이컨설팅,[패션유통대기업] 전국아울렛 F&B본부장 (부장-이사급),대전,대졸↑,경력 17년↑,"영업관리·영업지원, 유통·상품기획·MD",08.20,정규직,중소기업,329
유비스코리아,시니어 헤드헌터 HR 컨설턴트 - 1:1 파워코칭,대전,대졸↑,경력 15년↑,"임원·경영분석·컨설팅, 유통·상품기획·MD, 인사·채용·인재개발(HRM·HRD)",채용시,정규직,중소기업,350
주식회사 코어포인트,"브랜드 마케팅 커뮤니케이션 총괄(유관경력 10년 이상, 팀장급), 리딩 뷰티 기업",대전,대졸,경력 10년↑,"마케팅, 유통·상품기획·MD, 경영·기획·전략",08.11,정규직,중견기업,335
한국서치 주식회사,[외국계 물류사] 3PL BDM (Business Development Manager),대전,초대졸↑,경력 3~20년,운송·물류,08.17,정규직,중소기업,376
한국서치 주식회사,[외국계 항공물류사] 항공 BDM (Business Development Manager),대전,초대졸↑,경력 3~20년,운송·물류,08.17,정규직,대기업,354
한국서치 주식회사,[외국계 이커머스 물류사] 이커머스 BDM,대전,초대졸↑,경력 3~20년,운송·물류,08.17,인턴,중소기업,390
맨쉬컨설팅주식회사,"[글로벌 프리미엄 생활가전 전문기업] Product Marketing (10년 이상, 차부장급)",대전,대졸↑,경력 10년↑,"마케팅, 유통·상품기획·MD",,정규직,대기업,321
(주)피플스카우트,"[중견사/김포시 근무]물류 3PL,HC(의약품,의료) 영업/경력1년-20년차",경기,무관,경력 1~20년,운송·물류,채용시,정규직,중견기업,360
휴먼인써치,[국내제약사] 위수탁팀장 채용,경기,초대졸↑,경력 8~20년,"운송·물류, 품질관리, 생산관리",채용시,정규직,중견기업,341
헤니앤머코이,Merchandising (MD) Manager - 럭셔리 브랜드,대전,대졸,경력 10년↑,"유통·상품기획·MD, 구매·자재",채용시,정규직,중소기업,326
헌터스그룹(주),[송파/국내 프랜차이즈 기업] 펫(PET) 사업부장,대전,대졸,경력 10년↑,"경영·기획·전략, 유통·상품기획·MD",채용시,정규직,대기업,328
(주)피플스카우트,[유명 면세점]면세점 MD 본부장(임원급),대전,대졸,경력 15년↑,"경영·기획·전략, 마케팅, 유통·상품기획·MD",채용시,정규직,중견기업,314
한국서치 주식회사,외국계 물류사 - 물류 BDM (Business Development Manager),대전,초대졸↑,경력 1~20년,운송·물류,채용시,인턴,대기업,338
에스에프인촌 주식회사,[긴급] 대기업그룹사 물류기획 분야 경력인재채용,대전,대졸,경력 3~16년,"경영·기획·전략, 운송·물류",08.22,훈련생,중소기업,385
온리원파트너스(주),[패션중견기업 이커머스자회사] 플랫폼MD 총괄 채용,대전,대졸↑,경력 15년↑,유통·상품기획·MD,채용시,정규직,중소기업,330
(주)풀림,대표 가전제품 전문회사 SCM전략팀장 (책임 수석급),대전,대졸,경력 10년↑,"운송·물류, 유통·상품기획·MD",채용시,인턴,중견기업,368
(주)피플스카우트,[외국항공사 한국지사 GSA]중화항공 GSA 여객영업부/대리-부장급/2명,대전,초대졸↑,경력 3~20년,"영업관리·영업지원, 영업기획, 운송·물류",,정규직,중소기업,314
