회사명,공고명,지역,학력,경력,분야,마감일,고용형태,기업규모,급여(만원)
우리창호,PVC창호제작 - 경력자,경기,무관,경력 10년↑,"건설현장, 건축·인테리어·설계, 생산·조립·가공·포장·검품",09.30,정규직,중소기업,298
주식회사 아이펙,범용선반직 채용합니다 (경력직),대전,무관,경력 10년↑,기계·금속기능,채용시,정규직,중소기업,287
엠티에스 엔지니어링,전자장비 수리원 모집,인천,고졸,경력 10년↑,설치·수리·정비·A/S,10.05,인턴,중견기업,238
(주)한국나노정밀,NC밀링 경력직 채용,경기,무관,경력 10년↑,"기계·금속기능, 기계·금속·재료",채용시,정규직,중소기업,292
(주)이오기술,현장자재관리 및 생산지원업무를 수행할 경륜있는 인재를 모집합니다.!,경기,무관,경력 10년↑,생산·조립·가공·포장·검품,08.18,정규직,중견기업,288
에이치에스엠 정밀산업,CNC 선반 경력자 모집,경기,무관,경력 10년↑,"기계·금속기능, 기계·금속·재료, 건축·공간·CAD·CAM디자인",08.13,인턴,중소기업,212
(주)코아텍,(주)코아텍 공무부 채용,경기,무관,경력 10년↑,설치·수리·정비·A/S,08.18,정규직,중소기업,299
주식회사 아이펙,사출성형기조작원 채용합니다.,경기,무관,경력 15년↑,"섬유·화학, 환경·화학기능",,정규직,중소기업,272
"(주) 맥서브 (Maxerve Co. , Ltd. )",홈플러스 숭의점 시설주임 모집,인천,무관,경력 10년↑,설치·수리·정비·A/S,08.18,인턴,중견기업,250
우인테크,자동 프레스 생산 및 세척 직원 모집,인천,무관,경력 10년↑,"기계·금속·재료, 기계·금속기능, 건축·공간·CAD·CAM디자인",08.18,정규직,중견기업,266
(주)와이엠네트웍스,정보통신공사업 회사 통신업무 유경험자,경기,무관,경력 10년↑,"전기·전자·통신기능, 전기·소방·설비",채용시,정규직,중소기업,273
(주)엠에스피,cnc 선반조작원 모집합니다.,경기,무관,경력 10년↑,"기계·금속기능, 기계·금속·재료, 건축·공간·CAD·CAM디자인",08.18,정규직,중견기업,265
(주)세종산업,[레미콘 생산부]경력직원 정규직 채용공고,경기,무관,경력 10년↑,"건설현장, 기계·금속기능",채용시,정규직,중견기업,285
(주)케이피나인,인증업무 및 품질관리(경력) 모집 (방산/항공분야 우대),인천,무관,경력 10년↑,"생산·조립·가공·포장·검품, 기계·금속기능, 품질관리",08.17,정규직,중소기업,284
월드ENG,사출 관리자 경력자 모집합니다.,경기,무관,경력 10년↑,"섬유·화학, 환경·화학기능",08.10,정규직,중견기업,289
(주)큰나무,산업기계제작 및 기계설비 용접 설치,경기,무관,경력 10년↑,설치·수리·정비·A/S,08.14,정규직,중소기업,270
블루코리아,CNC 경력자 (팀장급),경기,무관,경력 10년↑,"기계·금속기능, 기계·금속·재료, 건축·공간·CAD·CAM디자인",08.15,정규직,중소기업,261
"(주) 맥서브 (Maxerve Co. , Ltd. )",홈플러스 경기하남점 시설팀장 채용,경기,무관,경력 10년↑,"전기·소방·설비, 전자·반도체, 전기·전자·통신기능, 설치·수리·정비·A/S",,정규직,중소기업,268
"(주) 맥서브 (Maxerve Co. , Ltd. )",홈플러스 김포점 설비 주임 채용공고,경기,무관,경력 10년↑,"건축·인테리어·설계, 부동산·주택관리, 설치·수리·정비·A/S",08.12,정규직,중소기업,272
대광기계공업,제관기능공,경기,무관,경력 10년↑,기계·금속기능,채용시,정규직,중소기업,269
성진산업개발(주),레미콘 생산팀 팀장 및 직원(OP) 모집,경기,무관,경력 10년↑,생산관리,08.12,정규직,중소기업,274
씨엠에스테크,"머시닝 센터(MCT) 선반, 밀링, 조작원 구인",경기,무관,경력 10년↑,기계·금속기능,채용시,정규직,중소기업,255
에스엠플러스,"자동차부품관리자 자재, 품질, 영업,생산관리",경기,무관,경력 10년↑,생산관리,08.24,정규직,중견기업,286
(주)유원상사,완성 바지 검사 및 마도매 가능하신 분 구합니다,대전,무관,경력 10년↑,"섬유·화학, 생산·조립·가공·포장·검품, 설치·수리·정비·A/S",채용시,정규직,중소기업,260
동신글라스텍주식회사,"동신글라스텍 (주) 유리재단사,공장장급(경력직) 모집합니다.",경기,무관,경력 10년↑,기계·금속기능,채용시,정규직,중소기업,293
해송테크,"알곤용접,아크,쇼트용접직원채용",인천,무관,경력 10년↑,기계·금속기능,채용시,정규직,중소기업,268
성진에스앤에프 주식회사,의류 공장장 모집,경기,고졸,경력 30년↑,"생산관리, 섬유·화학",채용시,정규직,중견기업,285
성진에스앤에프 주식회사,의류 재봉사 모집,경기,무관,경력 10년↑,생산·조립·가공·포장·검품,,정규직,중견기업,268
가온건설산업(주),[김포 풍무] 일반산업단지 토공반장 모집,경기,무관,경력 10년↑,식품가공·농림어업,08.31,정규직,중소기업,287
씨엔에프 수출포장(CNF),화성시 남양읍 수출포장 영업 관리자 모집,경기,무관,경력 10년↑,생산·조립·가공·포장·검품,채용시,정규직,중견기업,291
현일테크(주),분체도장 도장기 조작원 및 생산관리자 모집,인천,무관,경력 10년↑,기계·금속기능,08.15,인턴,중견기업,220
비.에이엔에프컴퍼니,"이동식부스-용접(알곤,티그,특수용접)",경기,무관,경력 15년↑,기계·금속기능,08.31,정규직,중견기업,251
대풍하이테크(주),사출성형경력사원 모집,인천,무관,경력 10년↑,"섬유·화학, 환경·화학기능",08.13,정규직,중소기업,273
신갈오토,신갈오토( 미션 재제조 경력10년 이상),경기,무관,경력 10년↑,설치·수리·정비·A/S,채용시,훈련생,중소기업,209
(주)은서테크,[일자리매칭플랫폼] 플라스틱 사출 오퍼레이터 모집,경기,학력무관,경력 10년↑,"전자·반도체, 환경·화학기능",10.07,인턴,중소기업,250
애니모션텍(주),[일자리매칭플랫폼] [애니모션텍]PLC 제어 및 전장설계 엔지니어 채용 (경력),인천,초대졸,경력 10년↑,"전자·반도체, 전기·전자·통신기능",08.22,정규직,중소기업,286
(주)지성MS,[일자리매칭플랫폼] 알루미늄 12종 용해 기술자(경력 10년이상) 채용공고,경기,무관,경력 10년↑,기계·금속기능,,정규직,중소기업,288
